Outlet,Metric,VADER,BERT
BBC News,Precision,0.825,0.7409090909090909
BBC News,Recall,0.8,0.8
BBC News,F1-Score,0.8052287581699347,0.7622222222222222
BBC News,Accuracy,0.8,0.8
Business Insider,Precision,0.7,0.7905882352941177
Business Insider,Recall,0.6,0.68
Business Insider,F1-Score,0.64,0.6666220735785953
Business Insider,Accuracy,0.6,0.68
CNET,Precision,0.5457142857142857,0.5523809523809523
CNET,Recall,0.44,0.4
CNET,F1-Score,0.48670967741935484,0.38333333333333336
CNET,Accuracy,0.44,0.4
Forbes,Precision,0.860952380952381,0.7784615384615384
Forbes,Recall,0.5599999999999999,0.44
Forbes,F1-Score,0.6579150579150579,0.5622222222222223
Forbes,Accuracy,0.56,0.44
Fox News,Precision,0.6363636363636364,0.606060606060606
Fox News,Recall,0.6363636363636364,0.6363636363636364
Fox News,F1-Score,0.6363636363636364,0.5984848484848485
Fox News,Accuracy,0.6363636363636364,0.6363636363636364
The Verge,Precision,0.46111111111111114,0.6027777777777777
The Verge,Recall,0.48,0.52
The Verge,F1-Score,0.4650267379679145,0.5044869565217391
The Verge,Accuracy,0.48,0.52
Wired,Precision,0.8803174603174604,0.8143589743589744
Wired,Recall,0.8,0.76
Wired,F1-Score,0.8338519924098671,0.7680000000000001
Wired,Accuracy,0.8,0.76
