outlet,headline,category,date,vader_score,vader_label,bert_score,bert_label,agreement,human_label,bias_axis_score
BBC News,'It's going to be really bad': Fears over AI bubble bursting grow in Silicon Valley,General,2025-10-10 23:55:36+00:00,-1,negative,-1,negative,agree,,
BBC News,How China is challenging Nvidia's AI chip dominance,General,2025-10-05 23:00:21+00:00,1,positive,-1,negative,disagree,,
BBC News,Students use AI to find possible cave entrances on Moon,General,2025-10-08 05:05:12+00:00,1,positive,1,positive,agree,,
BBC News,The Briefing Room,General,2025-10-23 19:10:00+00:00,-1,negative,-1,negative,agree,,
BBC News,Trump’s ‘CEO of everything’,General,2025-10-08 09:00:00+00:00,0,neutral,-1,negative,disagree,,
BBC News,Myanmar's army is taking back territory with relentless air strikes - and China's help,General,2025-10-22 22:09:32+00:00,-1,negative,-1,negative,agree,,
BBC News,The new AI arms race changing the war in Ukraine,General,2025-10-10 00:26:16+00:00,-1,negative,-1,negative,agree,,
BBC News,Tech billionaires seem to be doom prepping. Should we all be worried?,General,2025-10-09 23:02:51+00:00,-1,negative,-1,negative,agree,,
BBC News,MrBeast: AI means it's 'scary times' for YouTube creators,General,2025-10-07 11:15:05+00:00,-1,negative,-1,negative,agree,,
BBC News,Character.ai to ban teens from talking to its AI chatbots,General,2025-10-29 13:01:51+00:00,-1,negative,-1,negative,agree,,
BBC News,"ChatGPT's new browser has potential, if you're willing to pay",General,2025-10-25 23:24:03+00:00,1,positive,-1,negative,disagree,,
BBC News,Spotify working on AI music tools with major record labels,General,2025-10-16 16:26:39+00:00,1,positive,1,positive,agree,,
BBC News,I asked AI to plan my dream summer holiday. Here's how it turned out,General,2025-10-11 23:06:46+00:00,1,positive,-1,negative,disagree,,
BBC News,AI couldn't picture a woman like me - until now,General,2025-10-14 23:14:57+00:00,-1,negative,1,positive,disagree,,
BBC News,"UK will be second-fastest-growing G7 economy, IMF predicts",General,2025-10-14 13:00:40+00:00,0,neutral,1,positive,disagree,,
Business Insider,Databricks CEO says AI talent war has put 'too much pressure' on young people,Business,2025-10-10 16:16:28+00:00,-1,negative,-1,negative,agree,,
Business Insider,"Big Tech firms spending trillions on superintelligence systems are playing 'Russian roulette' with humanity, an AI pioneer says",Business,2025-10-29 10:02:50+00:00,1,positive,-1,negative,disagree,,
Business Insider,Brands are losing interest in AI influencers — but tech gains could bring a new wave of enthusiasm,Business,2025-10-07 18:05:31+00:00,1,positive,1,positive,agree,,
Business Insider,Amazon just kicked off the new era of giant AI layoffs,Business,2025-10-29 08:11:02+00:00,-1,negative,-1,negative,agree,,
Business Insider,Women didn't love him. His AI girlfriend did,Business,2025-10-05 09:59:01+00:00,1,positive,1,positive,agree,,
Business Insider,"The AI boom isn't a bubble — it's barely begun, Goldman Sachs says",Business,2025-10-16 07:26:58+00:00,0,neutral,-1,negative,disagree,,
Business Insider,"Google's viral Nano Banana AI image tool has already hurt Adobe, data suggests",Business,2025-10-16 14:31:03+00:00,-1,negative,-1,negative,agree,,
Business Insider,Howard Schultz said he's Worried — 'with a big W' — about AI,Business,2025-10-15 04:02:35+00:00,1,positive,-1,negative,disagree,,
Business Insider,Elon Musk comes clean about the sink in his viral Twitter takeover pic,Business,2025-11-02 04:02:01+00:00,1,positive,-1,negative,disagree,,
Business Insider,OpenAI cofounder Andrej Karpathy says it will take a decade before AI agents actually work,Business,2025-10-19 20:19:12+00:00,1,positive,-1,negative,disagree,,
Business Insider,Elon Musk says self-driving is Tesla's future. It's struggling to get owners to pay for it.,Business,2025-10-24 11:40:41+00:00,-1,negative,-1,negative,agree,,
Business Insider,"Docusign tries making love, not war, with OpenAI",Business,2025-10-30 15:00:01+00:00,1,positive,1,positive,agree,,
Business Insider,Rivian exec: Tesla's sensor hesitancy isn't 'fully explainable' because LiDAR is getting cheaper,Business,2025-10-22 22:06:22+00:00,-1,negative,-1,negative,agree,,
Business Insider,A Ukrainian startup is turning to AI to outsmart the Russian ambush drones blowing up supply trucks,Business,2025-10-14 20:50:51+00:00,0,neutral,-1,negative,disagree,,
Business Insider,Amazon's cloud boss says the company feels 'quite good' about its massive AI bets,Business,2025-10-30 06:24:39+00:00,1,positive,1,positive,agree,,
Business Insider,"Kong CEO says the AI bubble may blow up, but hyperscaling will be worth it",Business,2025-10-25 09:36:01+00:00,1,positive,1,positive,agree,,
Business Insider,I'm a UCLA student. Here's how I get the most out of OpenAI's new Atlas browser.,Business,2025-10-24 15:01:01+00:00,1,positive,1,positive,agree,,
Business Insider,"Mercor pays over $1.5 million a day to humans training AI, says its CEO",Business,2025-10-28 06:54:44+00:00,-1,negative,-1,negative,agree,,
Business Insider,GM just revealed 2 AI updates coming to its cars,Business,2025-10-22 15:01:59+00:00,0,neutral,1,positive,disagree,,
Business Insider,I left my 6-figure job and unvested stock at Google to join the AI safety movement. It was a hard decision.,Business,2025-10-31 09:00:02+00:00,1,positive,-1,negative,disagree,,
Business Insider,This is your doctor on ChatGPT,Business,2025-10-04 09:36:01+00:00,1,positive,-1,negative,disagree,,
Business Insider,Tesla's new 'affordable EVs' aren't actually all that affordable,Business,2025-10-08 12:15:26+00:00,1,positive,-1,negative,disagree,,
Business Insider,"For this driverless car pioneer, vehicle autonomy has finally arrived. It's been a long road.",Business,2025-10-28 20:16:01+00:00,0,neutral,-1,negative,disagree,,
Business Insider,"I pivoted into AI at Google in the 2010s. Here's my top tip for breaking into the field, now it's easier than ever.",Business,2025-10-16 09:02:01+00:00,1,positive,1,positive,agree,,
Business Insider,Harvey's CEO tells BI the 2 habits helping him scale his $5 billion legal AI startup,Business,2025-10-06 00:00:01+00:00,1,positive,-1,negative,disagree,,
